1e-08% is done | total is: 712592 | total time: 0.094secs | previous time: 0.094secs
2e-08% is done | total is: 2037728 | total time: 0.299secs | previous time: 0.205secs
3e-08% is done | total is: 3759632 | total time: 0.578secs | previous time: 0.279secs
4e-08% is done | total is: 5763872 | total time: 0.976secs | previous time: 0.399secs
5e-08% is done | total is: 8089424 | total time: 2.218secs | previous time: 1.241secs
6e-08% is done | total is: 10609160 | total time: 2.827secs | previous time: 0.610secs
0.0001% is done | total is: 712592 | total time: 0.142secs | previous time: 0.142secs
0.0002% is done | total is: 2037728 | total time: 0.455secs | previous time: 0.313secs
0.0003% is done | total is: 3759632 | total time: 0.896secs | previous time: 0.442secs
0.0004% is done | total is: 5763872 | total time: 1.519secs | previous time: 0.623secs
0.0005% is done | total is: 8089424 | total time: 1.973secs | previous time: 0.454secs
0.0006% is done | total is: 10609160 | total time: 2.454secs | previous time: 0.481secs
0.0007% is done | total is: 13401488 | total time: 2.978secs | previous time: 0.525secs
0.0008% is done | total is: 16322288 | total time: 3.476secs | previous time: 0.498secs
0.0009% is done | total is: 19516184 | total time: 4.043secs | previous time: 0.567secs
0.001% is done | total is: 22900120 | total time: 4.787secs | previous time: 0.745secs
0.0011% is done | total is: 26370208 | total time: 5.296secs | previous time: 0.509secs
0.0012% is done | total is: 30032608 | total time: 5.843secs | previous time: 0.547secs
0.0013% is done | total is: 33897976 | total time: 6.844secs | previous time: 1.001secs
0.0014% is done | total is: 37962232 | total time: 7.845secs | previous time: 1.000secs
0.0015% is done | total is: 42043648 | total time: 9.003secs | previous time: 1.158secs
0.0016% is done | total is: 46177744 | total time: 9.979secs | previous time: 0.976secs
0.0017% is done | total is: 50765992 | total time: 10.746secs | previous time: 0.767secs
0.0018% is done | total is: 55234864 | total time: 11.533secs | previous time: 0.788secs
0.0019% is done | total is: 59819928 | total time: 12.242secs | previous time: 0.709secs
0.002% is done | total is: 64838136 | total time: 13.103secs | previous time: 0.861secs
0.0021% is done | total is: 69753984 | total time: 14.573secs | previous time: 1.470secs
0.0001% is done | total is: 712592 | total time: 0.118secs | previous time: 0.118secs
0.0002% is done | total is: 2037728 | total time: 0.532secs | previous time: 0.414secs
0.0003% is done | total is: 3759632 | total time: 1.056secs | previous time: 0.525secs
0.0004% is done | total is: 5763872 | total time: 1.687secs | previous time: 0.631secs
0.0005% is done | total is: 8089424 | total time: 2.227secs | previous time: 0.540secs
0.0006% is done | total is: 10609160 | total time: 2.784secs | previous time: 0.558secs
0.0007% is done | total is: 13401488 | total time: 3.387secs | previous time: 0.603secs
0.0008% is done | total is: 16322288 | total time: 3.914secs | previous time: 0.527secs
0.0009% is done | total is: 19516184 | total time: 4.483secs | previous time: 0.570secs
0.001% is done | total is: 22900120 | total time: 5.015secs | previous time: 0.532secs
0.0011% is done | total is: 26370208 | total time: 5.856secs | previous time: 0.841secs
0.0012% is done | total is: 30032608 | total time: 7.472secs | previous time: 1.616secs
0.0013% is done | total is: 33897976 | total time: 8.763secs | previous time: 1.291secs
0.0014% is done | total is: 37962232 | total time: 9.408secs | previous time: 0.645secs
0.0015% is done | total is: 42043648 | total time: 10.116secs | previous time: 0.709secs
0.0016% is done | total is: 46177744 | total time: 10.832secs | previous time: 0.716secs
0.0017% is done | total is: 50765992 | total time: 11.558secs | previous time: 0.727secs
0.0018% is done | total is: 55234864 | total time: 12.336secs | previous time: 0.778secs
0.0019% is done | total is: 59819928 | total time: 13.059secs | previous time: 0.723secs
0.002% is done | total is: 64838136 | total time: 13.821secs | previous time: 0.763secs
0.0021% is done | total is: 69753984 | total time: 14.648secs | previous time: 0.827secs
0.0022% is done | total is: 74760120 | total time: 15.486secs | previous time: 0.839secs
0.0023% is done | total is: 79842984 | total time: 16.303secs | previous time: 0.817secs
0.0024% is done | total is: 84961848 | total time: 17.251secs | previous time: 0.948secs
0.0025% is done | total is: 90349560 | total time: 18.266secs | previous time: 1.014secs
0.0026% is done | total is: 95867304 | total time: 19.425secs | previous time: 1.159secs
0.0027% is done | total is: 101531712 | total time: 20.360secs | previous time: 0.935secs
0.0028% is done | total is: 107383760 | total time: 21.282secs | previous time: 0.922secs
0.0029% is done | total is: 112931624 | total time: 22.246secs | previous time: 0.964secs
0.003% is done | total is: 118919096 | total time: 23.273secs | previous time: 1.026secs
0.0031% is done | total is: 124827944 | total time: 24.556secs | previous time: 1.283secs
0.0032% is done | total is: 130814264 | total time: 25.549secs | previous time: 0.992secs
0.0033% is done | total is: 137263016 | total time: 26.736secs | previous time: 1.187secs
0.0034% is done | total is: 143652512 | total time: 28.148secs | previous time: 1.412secs
0.0035% is done | total is: 149919032 | total time: 30.103secs | previous time: 1.955secs
0.0036% is done | total is: 156169760 | total time: 31.632secs | previous time: 1.529secs
0.0037% is done | total is: 163124800 | total time: 33.085secs | previous time: 1.453secs
0.0038% is done | total is: 169382344 | total time: 34.532secs | previous time: 1.447secs
0.0039% is done | total is: 176344096 | total time: 36.278secs | previous time: 1.746secs
0.004% is done | total is: 183302104 | total time: 37.790secs | previous time: 1.511secs
0.0041% is done | total is: 190093480 | total time: 39.145secs | previous time: 1.355secs
0.0042% is done | total is: 197280856 | total time: 40.767secs | previous time: 1.622secs
0.0043% is done | total is: 203958832 | total time: 44.324secs | previous time: 3.557secs
0.0044% is done | total is: 211355272 | total time: 46.202secs | previous time: 1.878secs
0.0045% is done | total is: 218436016 | total time: 47.869secs | previous time: 1.667secs
0.0046% is done | total is: 225986856 | total time: 49.617secs | previous time: 1.748secs
0.0047% is done | total is: 233162016 | total time: 51.072secs | previous time: 1.455secs
0.0048% is done | total is: 240341952 | total time: 52.684secs | previous time: 1.612secs
0.0049% is done | total is: 248088024 | total time: 54.188secs | previous time: 1.504secs
0.005% is done | total is: 256163664 | total time: 55.766secs | previous time: 1.577secs
0.0051% is done | total is: 263751024 | total time: 58.643secs | previous time: 2.876secs
0.0052% is done | total is: 271599288 | total time: 60.639secs | previous time: 1.996secs
0.0053% is done | total is: 279583896 | total time: 62.419secs | previous time: 1.780secs
0.0054% is done | total is: 287069472 | total time: 64.304secs | previous time: 1.886secs
0.0055% is done | total is: 295314872 | total time: 66.111secs | previous time: 1.807secs
0.0056% is done | total is: 303623168 | total time: 68.145secs | previous time: 2.034secs
0.0057% is done | total is: 311106224 | total time: 70.247secs | previous time: 2.102secs
0.0058% is done | total is: 319612784 | total time: 72.144secs | previous time: 1.897secs
0.0059% is done | total is: 328443848 | total time: 73.940secs | previous time: 1.796secs
0.006% is done | total is: 336405680 | total time: 76.255secs | previous time: 2.315secs
0.0061% is done | total is: 345190496 | total time: 78.476secs | previous time: 2.222secs
0.0062% is done | total is: 353448320 | total time: 80.567secs | previous time: 2.091secs
0.0063% is done | total is: 362029664 | total time: 84.568secs | previous time: 4.001secs
0.0064% is done | total is: 370152616 | total time: 90.324secs | previous time: 5.756secs
0.0065% is done | total is: 379691872 | total time: 93.460secs | previous time: 3.136secs
0.0066% is done | total is: 388448704 | total time: 95.995secs | previous time: 2.536secs
0.0067% is done | total is: 396991288 | total time: 98.012secs | previous time: 2.017secs
0.0068% is done | total is: 406003840 | total time: 100.032secs | previous time: 2.020secs
0.0069% is done | total is: 415017904 | total time: 102.015secs | previous time: 1.983secs
0.007% is done | total is: 424082800 | total time: 104.528secs | previous time: 2.514secs
0.0071% is done | total is: 432848800 | total time: 106.742secs | previous time: 2.214secs
0.0072% is done | total is: 442007296 | total time: 108.865secs | previous time: 2.123secs
0.0073% is done | total is: 451842336 | total time: 111.018secs | previous time: 2.153secs
0.0074% is done | total is: 461214432 | total time: 113.157secs | previous time: 2.140secs
0.0075% is done | total is: 470562264 | total time: 115.471secs | previous time: 2.314secs
0.0076% is done | total is: 479405232 | total time: 117.733secs | previous time: 2.262secs
0.0077% is done | total is: 489234432 | total time: 119.921secs | previous time: 2.188secs
0.0078% is done | total is: 498917424 | total time: 122.247secs | previous time: 2.327secs
0.0079% is done | total is: 508177200 | total time: 124.468secs | previous time: 2.221secs
0.008% is done | total is: 518245872 | total time: 126.557secs | previous time: 2.089secs
0.0081% is done | total is: 527525112 | total time: 128.801secs | previous time: 2.244secs
0.0082% is done | total is: 537613520 | total time: 130.977secs | previous time: 2.177secs
0.0083% is done | total is: 547805096 | total time: 133.392secs | previous time: 2.415secs
0.0084% is done | total is: 557713088 | total time: 135.552secs | previous time: 2.160secs
0.0085% is done | total is: 566977928 | total time: 137.755secs | previous time: 2.204secs
0.0086% is done | total is: 577480712 | total time: 140.018secs | previous time: 2.263secs
0.0087% is done | total is: 587297072 | total time: 142.378secs | previous time: 2.360secs
0.0088% is done | total is: 598063928 | total time: 144.600secs | previous time: 2.223secs
0.0089% is done | total is: 608223440 | total time: 147.001secs | previous time: 2.401secs
0.009% is done | total is: 617955488 | total time: 149.267secs | previous time: 2.266secs
0.0091% is done | total is: 628047088 | total time: 151.649secs | previous time: 2.383secs
0.0092% is done | total is: 639326080 | total time: 154.084secs | previous time: 2.435secs
0.0093% is done | total is: 649235272 | total time: 156.357secs | previous time: 2.273secs
0.0094% is done | total is: 659809648 | total time: 158.772secs | previous time: 2.416secs
0.0095% is done | total is: 670248400 | total time: 161.144secs | previous time: 2.372secs
0.0096% is done | total is: 680439208 | total time: 163.559secs | previous time: 2.415secs
0.0097% is done | total is: 691423984 | total time: 165.958secs | previous time: 2.400secs
0.0098% is done | total is: 701894776 | total time: 168.421secs | previous time: 2.463secs
0.0099% is done | total is: 712721272 | total time: 170.915secs | previous time: 2.495secs
0.01% is done | total is: 724086120 | total time: 173.265secs | previous time: 2.350secs
0.0101% is done | total is: 734543664 | total time: 175.850secs | previous time: 2.585secs
0.0102% is done | total is: 745760688 | total time: 178.320secs | previous time: 2.471secs
0.0103% is done | total is: 756344736 | total time: 180.773secs | previous time: 2.453secs
0.0104% is done | total is: 767851056 | total time: 183.263secs | previous time: 2.491secs
0.0105% is done | total is: 779054256 | total time: 185.749secs | previous time: 2.486secs
0.0106% is done | total is: 790541544 | total time: 188.302secs | previous time: 2.554secs
0.0107% is done | total is: 801604992 | total time: 190.814secs | previous time: 2.512secs
0.0108% is done | total is: 812550120 | total time: 193.546secs | previous time: 2.732secs
0.0109% is done | total is: 824595104 | total time: 196.074secs | previous time: 2.528secs
0.011% is done | total is: 835061672 | total time: 198.769secs | previous time: 2.694secs
0.0111% is done | total is: 846775040 | total time: 201.237secs | previous time: 2.469secs
0.0112% is done | total is: 858859328 | total time: 203.772secs | previous time: 2.535secs
0.0113% is done | total is: 870105416 | total time: 206.406secs | previous time: 2.635secs
0.0114% is done | total is: 880653104 | total time: 209.041secs | previous time: 2.634secs
0.0115% is done | total is: 893512400 | total time: 211.795secs | previous time: 2.754secs
0.0116% is done | total is: 905102264 | total time: 214.653secs | previous time: 2.858secs
0.0117% is done | total is: 916022864 | total time: 217.225secs | previous time: 2.572secs
0.0118% is done | total is: 928864840 | total time: 219.960secs | previous time: 2.735secs
0.0119% is done | total is: 939404968 | total time: 222.575secs | previous time: 2.615secs
0.012% is done | total is: 951935920 | total time: 225.132secs | previous time: 2.558secs
0.0121% is done | total is: 963107800 | total time: 227.898secs | previous time: 2.765secs
0.0122% is done | total is: 975921688 | total time: 230.592secs | previous time: 2.694secs
0.0123% is done | total is: 988534648 | total time: 233.373secs | previous time: 2.780secs
0.0124% is done | total is: 999488416 | total time: 235.983secs | previous time: 2.611secs
0.0125% is done | total is: 1012460608 | total time: 238.608secs | previous time: 2.624secs
0.0126% is done | total is: 1024191520 | total time: 241.274secs | previous time: 2.666secs
0.0127% is done | total is: 1035338208 | total time: 244.012secs | previous time: 2.737secs
0.0128% is done | total is: 1048440696 | total time: 246.720secs | previous time: 2.708secs
0.0129% is done | total is: 1060698864 | total time: 249.589secs | previous time: 2.869secs
0.013% is done | total is: 1073762592 | total time: 252.311secs | previous time: 2.721secs
0.0131% is done | total is: 1085539632 | total time: 255.060secs | previous time: 2.749secs
0.0132% is done | total is: 1097924640 | total time: 257.871secs | previous time: 2.810secs
0.0133% is done | total is: 1110578400 | total time: 260.668secs | previous time: 2.797secs
0.0134% is done | total is: 1123225656 | total time: 263.473secs | previous time: 2.805secs
0.0135% is done | total is: 1135238184 | total time: 266.299secs | previous time: 2.825secs
0.0136% is done | total is: 1148930168 | total time: 269.225secs | previous time: 2.926secs
0.0137% is done | total is: 1160871656 | total time: 271.985secs | previous time: 2.759secs
0.0138% is done | total is: 1173786368 | total time: 274.743secs | previous time: 2.758secs
0.0139% is done | total is: 1185797288 | total time: 277.598secs | previous time: 2.855secs
0.014% is done | total is: 1200276584 | total time: 280.515secs | previous time: 2.916secs
0.0141% is done | total is: 1212567368 | total time: 283.509secs | previous time: 2.994secs
0.0142% is done | total is: 1224785312 | total time: 286.206secs | previous time: 2.697secs
0.0143% is done | total is: 1237810112 | total time: 289.105secs | previous time: 2.898secs
0.0144% is done | total is: 1250165096 | total time: 291.973secs | previous time: 2.868secs
0.0145% is done | total is: 1265031976 | total time: 294.781secs | previous time: 2.807secs
0.0146% is done | total is: 1277924728 | total time: 297.775secs | previous time: 2.994secs
