x_value,total_1,total_2
0,1000,1000
1,1004,996
2,1010,1002
3,1006,1005
4,1014,1011
5,1011,1015
6,1018,1018
7,1025,1018
8,1023,1018
9,1018,1023
10,1023,1019
11,1029,1014
12,1027,1019
13,1023,1020
14,1030,1019
15,1024,1020
16,1026,1019
17,1034,1017
18,1032,1022
19,1026,1028
20,1020,1031
21,1018,1034
22,1014,1037
23,1020,1033
24,1022,1033
25,1020,1030
26,1023,1036
27,1024,1042
28,1030,1041
29,1036,1036
30,1030,1041
31,1027,1042
32,1031,1043
33,1032,1047
34,1031,1049
35,1027,1054
36,1028,1058
37,1033,1056
38,1034,1054
39,1029,1059
40,1037,1065
41,1035,1068
42,1034,1074
43,1038,1073
44,1035,1071
45,1030,1075
46,1037,1077
47,1038,1079
48,1040,1080
49,1039,1082
50,1041,1086
51,1045,1087
52,1040,1089
53,1036,1093
54,1031,1096
55,1033,1102
56,1028,1105
57,1031,1107
58,1034,1110
59,1041,1113
60,1039,1114
61,1034,1112
62,1033,1109
63,1041,1112
64,1038,1111
65,1035,1117
66,1042,1114
67,1043,1118
68,1039,1122
69,1033,1123
70,1031,1122
71,1030,1120
72,1026,1123
73,1024,1122
74,1019,1119
75,1027,1124
76,1024,1120
77,1019,1120
78,1016,1124
79,1010,1120
80,1009,1121
81,1010,1121
82,1016,1124
83,1012,1124
84,1012,1123
85,1017,1118
86,1018,1118
87,1016,1123
88,1020,1122
89,1021,1127
90,1021,1128
91,1021,1132
92,1015,1133
93,1019,1128
94,1017,1125
95,1016,1122
96,1022,1118
97,1023,1113
98,1017,1114
99,1017,1117
100,1025,1113
101,1025,1112
102,1027,1115
103,1029,1118
104,1027,1124
105,1023,1128
106,1024,1127
107,1029,1128
108,1031,1131
109,1026,1136
110,1026,1131
111,1031,1134
112,1035,1139
113,1037,1145
114,1037,1142
115,1037,1146
116,1033,1151
117,1028,1148
118,1035,1153
119,1031,1157
120,1036,1158
121,1037,1163
122,1035,1158
123,1038,1157
124,1045,1159
125,1045,1165
126,1048,1171
127,1046,1174
128,1044,1174
129,1045,1178
130,1040,1184
131,1035,1186
132,1033,1192
133,1036,1187
134,1037,1186
135,1037,1182
136,1031,1186
137,1028,1192
138,1032,1196
139,1030,1192
140,1032,1191
141,1033,1192
142,1027,1190
143,1026,1188
144,1026,1183
145,1021,1184
146,1025,1183
147,1026,1185
148,1031,1190
149,1036,1187
150,1038,1187
151,1046,1192
152,1043,1193
153,1047,1189
154,1054,1184
155,1048,1190
156,1053,1194
157,1060,1195
158,1057,1197
159,1057,1200
160,1053,1195
161,1058,1191
162,1062,1187
163,1065,1182
164,1072,1184
165,1069,1183
166,1070,1180
167,1076,1183
168,1071,1188
169,1067,1183
170,1070,1181
171,1076,1179
172,1073,1177
173,1069,1178
174,1077,1175
175,1078,1174
176,1081,1175
177,1089,1170
178,1083,1167
179,1080,1170
180,1076,1165
181,1071,1169
182,1066,1170
183,1065,1171
184,1066,1173
185,1066,1175
186,1061,1171
187,1056,1174
188,1063,1175
189,1071,1174
190,1070,1179
191,1069,1180
192,1069,1181
193,1069,1176
194,1070,1179
195,1066,1185
196,1072,1182
197,1073,1182
198,1073,1183
199,1078,1183
200,1074,1187
201,1078,1192
202,1084,1191
203,1079,1186
204,1074,1188
205,1080,1183
206,1081,1186
207,1082,1184
208,1077,1184
209,1081,1182
210,1085,1177
211,1092,1176
212,1087,1171
213,1083,1166
214,1082,1165
215,1086,1164
216,1088,1165
217,1092,1162
218,1096,1160
219,1101,1166
220,1107,1172
221,1107,1174
222,1105,1173
223,1110,1174
224,1118,1177
225,1123,1178
226,1128,1181
227,1127,1180
228,1132,1177
229,1132,1175
230,1139,1179
231,1136,1181
232,1139,1185
233,1134,1182
234,1138,1181
235,1141,1176
236,1144,1176
237,1149,1176
238,1151,1178
239,1159,1173
240,1157,1169
241,1164,1172
242,1160,1169
243,1167,1166
244,1174,1170
245,1178,1173
246,1176,1170
247,1170,1169
248,1175,1165
249,1183,1166
250,1190,1167
251,1196,1168
252,1202,1165
253,1205,1168
254,1202,1172
255,1199,1169
256,1195,1169
257,1193,1165
258,1198,1163
259,1193,1159
260,1190,1164
261,1192,1166
262,1186,1172
263,1187,1174
264,1186,1170
265,1192,1171
266,1200,1166
267,1207,1171
268,1203,1170
269,1208,1168
270,1215,1164
271,1220,1159
272,1225,1155
273,1230,1157
274,1233,1156
275,1227,1162
276,1221,1166
277,1223,1168
278,1227,1164
279,1234,1168
280,1228,1165
281,1234,1168
282,1236,1173
283,1233,1171
284,1240,1170
285,1235,1176
286,1242,1179
287,1236,1175
288,1231,1177
