Strukturwandel | Veraenderung der Bedeutung einzelner Wirtschaftssektoren in einem Raum 
Sektoraler Strukturwandel | Bedeutung des primaeren, sekundaeren und tertiaeren Sektor aendert sich 
Intrasektoraler Strukturwandel | Strukturwandel innerhalb eines Sektors 
Regionaler Strukturwandel | aenderung der oekonomischen Strukturen innerhalb regionaler Wirtschaftsraeume-> Folge des sektoralen Strukturwandels -> besonders, wenn in einer Region stagnierende und schrumpfende Branchen auftreten 
altindustrialisierter Raum | Raum mit einem Industriestand aus der Fruehphase der Industrialisierung 
Montanindustrie | Bergbau 
Deindustralisierung | uebergang von der Industrie- zur Dienstleistungsgesellschaft 
Diversifizierung | Auswertung der Produktions- und Exportstruktur, um Probleme der Monostruktur entgegen zu wirken 
Reindustralisierung | Entwicklungsprozess mit erneuter Orientierung auf die industrielle Produktion 
Monostruktur | Einseitige Wirtschaftsstruktur an einem Standort in einer Wirtschaftsregion 
Tertiaerisierung | Prozess, bei dem es zu einer Umwandlung einer Industriegesellschaft zu einer Dienstleistungsgesellschaft kommt. Grosse Zunahme des Anteil der Beschaeftigten im tertiaerem Sektor. 
Wirtschaftssektor | Wirtschaftsbereich, in dem aehnliche Wirtschaftszweige zusammengefasst sind. Unterschieden werden primaerer Sektor (Urproduktion von Rohstoffen, Land- und Forstwirtschaft), sekundaere Sektor (Rohstoffe werden verarbeitet, z.B. Bergbau und Bauwerk) und tertiaerer Sektor (Dienstleistungen, z.B. Logistik) 
Basisinnovation | Grundlegende technologische Erneuerung 
Absatzmarkt | Markt, an dem die Produkte eines Unternehmens verkauft werden. Es kann sich um Privatpersonen oder Firmen handeln. 
Niedriglohnland | Entwicklungs- oder Schwellenland mit niedrigen Lohnniveau 
Zulieferindustrie | liefern Rohmaterialien oder Fertigwaren 
Just-in-time-production | Produktionsprinzip, bei dem Zuliefer- und Produktionstermine genau aufeinander abgestimmt werden, um Lagerkosten zu vermeiden. 
Cluster | Bezeichnet eine raeumliche Konzentration kooperierender Unternehmen und Institutionen eines bestimmten Wirtschaftszweiges (z.B. Silicon Valley) 
Standortfaktor | Faktor, der fuer die Wahl eines Standortes fuer einen industriellen Betrieb, Touristen o.ae. massgebend ist 
Harte Standortfaktoren | Sie sind quantifizierbar und koennen direkt in die Markt- und Standortanalyse fuer ein Unternehmen einbezogen werden (z.B. Steuern, Abgaben, Subventionen, Absatzmarkt, Infrastruktur, Arbeitskraeftepotential, Ressourcenverfuegbarkeit oder Verkehrsanbindung 
Weiche Standortfaktoren | Sie sind nicht Kalkulierbar und koennen nicht in die Kostenrechnung eines Unternehmens integriert werden. (z.B. Kulturangebot, Einkaufsmoeglichkeiten, Mietpreise, Lage, Freizeitmoeglichkeiten und Bildungsangebot, die fuer die Anwerbung hoch qualifizierter Mitarbeiter entscheidend sein koennen) 
Wachstumsregion | Gebiete mit einem Bedeutungs- und Impulsueberschuss, den sie z.T. an die Nachbarregionen abgeben.
Agglomerationsvorteil | Die Absatzsteigerung,die durch raeumliche Naehe zu Geschaeften mit einem aehnlichen Sortiment oder einer aehnlich verfolgten Preisstrategie zustande kommt
Agglomerationsnachteil | Wirtschaftlich bzw. sozial negative Einfluesse,die sich aus einer uebermaessigen raeumlichen Verdichtung von Nutzungen bzw. Siedlungsgebieten ergeben
