0.0001% is done | total is: 712592 | total time: 0.209secs | previous time: 0.209secs
0.0002% is done | total is: 2037728 | total time: 0.532secs | previous time: 0.323secs
0.0003% is done | total is: 3759632 | total time: 0.897secs | previous time: 0.366secs
0.0004% is done | total is: 5763872 | total time: 1.278secs | previous time: 0.381secs
0.0005% is done | total is: 8089424 | total time: 1.825secs | previous time: 0.547secs
0.0006% is done | total is: 10609160 | total time: 2.411secs | previous time: 0.586secs
0.0007% is done | total is: 13401488 | total time: 3.241secs | previous time: 0.831secs
0.0008% is done | total is: 16322288 | total time: 4.219secs | previous time: 0.977secs
0.0009% is done | total is: 19516184 | total time: 4.907secs | previous time: 0.689secs
0.001% is done | total is: 22900120 | total time: 5.586secs | previous time: 0.679secs
0.0011% is done | total is: 26370208 | total time: 6.293secs | previous time: 0.708secs
0.0012% is done | total is: 30032608 | total time: 7.077secs | previous time: 0.784secs
0.0013% is done | total is: 33897976 | total time: 7.871secs | previous time: 0.795secs
0.0014% is done | total is: 37962232 | total time: 8.692secs | previous time: 0.821secs
0.0015% is done | total is: 42043648 | total time: 9.845secs | previous time: 1.153secs
0.0016% is done | total is: 46177744 | total time: 10.801secs | previous time: 0.955secs
0.0017% is done | total is: 50765992 | total time: 11.692secs | previous time: 0.891secs
0.0018% is done | total is: 55234864 | total time: 12.601secs | previous time: 0.908secs
0.0019% is done | total is: 59819928 | total time: 13.555secs | previous time: 0.954secs
0.002% is done | total is: 64838136 | total time: 14.827secs | previous time: 1.271secs
0.0021% is done | total is: 69753984 | total time: 16.968secs | previous time: 2.142secs
0.0022% is done | total is: 74760120 | total time: 19.119secs | previous time: 2.151secs
0.0023% is done | total is: 79842984 | total time: 20.301secs | previous time: 1.182secs
0.0024% is done | total is: 84961848 | total time: 21.446secs | previous time: 1.144secs
0.0025% is done | total is: 90349560 | total time: 22.672secs | previous time: 1.226secs
0.0026% is done | total is: 95867304 | total time: 23.858secs | previous time: 1.186secs
0.0027% is done | total is: 101531712 | total time: 24.956secs | previous time: 1.097secs
0.0028% is done | total is: 107383760 | total time: 26.201secs | previous time: 1.245secs
0.0029% is done | total is: 112931624 | total time: 27.329secs | previous time: 1.128secs
0.003% is done | total is: 118919096 | total time: 28.516secs | previous time: 1.186secs
0.0031% is done | total is: 124827944 | total time: 29.679secs | previous time: 1.163secs
0.0032% is done | total is: 130814264 | total time: 32.146secs | previous time: 2.467secs
0.0033% is done | total is: 137263016 | total time: 33.830secs | previous time: 1.684secs
0.0034% is done | total is: 143652512 | total time: 35.246secs | previous time: 1.416secs
0.0035% is done | total is: 149919032 | total time: 36.540secs | previous time: 1.294secs
0.0036% is done | total is: 156169760 | total time: 38.097secs | previous time: 1.557secs
0.0037% is done | total is: 163124800 | total time: 39.485secs | previous time: 1.388secs
0.0038% is done | total is: 169382344 | total time: 41.115secs | previous time: 1.629secs
0.0039% is done | total is: 176344096 | total time: 43.015secs | previous time: 1.901secs
0.004% is done | total is: 183302104 | total time: 44.456secs | previous time: 1.440secs
0.0041% is done | total is: 190093480 | total time: 46.036secs | previous time: 1.580secs
0.0042% is done | total is: 197280856 | total time: 47.460secs | previous time: 1.424secs
0.0043% is done | total is: 203958832 | total time: 49.570secs | previous time: 2.110secs
0.0044% is done | total is: 211355272 | total time: 51.460secs | previous time: 1.890secs
0.0045% is done | total is: 218436016 | total time: 52.990secs | previous time: 1.530secs
0.0046% is done | total is: 225986856 | total time: 54.917secs | previous time: 1.927secs
0.0047% is done | total is: 233162016 | total time: 59.871secs | previous time: 4.954secs
